,columna,metrica,tiempo_procesamiento,cluster
46,250.0,3.3844044619749485,197.3845980167389,2
47,251.0,3.1326973547316195,197.2726137638092,2
48,252.0,3.987583745433404,198.63277959823608,2
49,253.0,2.7841080427480867,194.26581621170044,2
50,254.0,3.415696266525144,187.71031951904297,2
51,258.0,1.760482052918233,192.43860960006717,2
52,259.0,2.526108948222531,194.2786989212036,2
53,261.0,2.639858157798088,194.0865898132324,2
54,262.0,3.3325333021619934,197.31894326210025,2
55,263.0,2.247533310764408,195.48272466659543,2
56,264.0,2.9382461838251186,195.2806158065796,0
57,265.0,2.9138222119310453,195.7598967552185,2
58,266.0,2.7675892579497647,191.97183394432068,2
59,267.0,1.6796541738605906,193.12640047073364,0
60,268.0,1.551364888636076,193.5132884979248,1
61,269.0,0.956842966337922,184.47593879699707,1
62,270.0,1.4616835649775477,191.43764305114743,1
63,271.0,1.19030290132256,193.7470278739929,1
64,272.0,2.3619263992817965,198.5293493270874,2
65,273.0,4.37516114564137,199.63475728034973,1
66,274.0,2.7819574715663,195.13629841804504,2
67,275.0,3.055124989814661,194.6920478343964,1
68,276.0,3.949746998522039,200.7084002494812,2
69,277.0,3.422008580403299,197.8359842300415,2
70,278.0,3.672372362441389,188.0698616504669,2
71,279.0,4.327020868553714,201.0559492111206,2
72,280.0,4.549076875572981,196.4033167362213,2
73,281.0,3.1771678761404285,196.9967291355133,2
74,282.0,2.223228516111904,202.7816457748413,2
75,284.0,3.2400373785974668,195.00259280204773,0
76,285.0,1.7127633453958226,196.05432152748108,2
77,286.0,2.0123511280166277,189.77153086662287,0
78,288.0,3.4876724445415945,198.4418065547943,2
79,289.0,2.1376228163055946,201.59546995162964,2
80,291.0,2.0888221235546207,210.85171484947205,2
81,292.0,1.4867601238981063,215.0992925167084,2
82,293.0,1.6362513708901694,207.95853805541992,2
83,294.0,2.908928698728839,196.917466878891,1
84,295.0,1.6621606168460727,200.35293889045715,2
85,296.0,3.597815339556157,196.5823221206665,0
86,297.0,2.2627414407828645,190.6453504562378,2
87,298.0,3.456742607190739,195.95090627670288,0
88,299.0,3.101539111855054,197.99504470825195,2
89,300.0,1.997568435636683,197.83560633659363,2
90,301.0,1.6130325005815018,184.8944461345673,1
91,302.0,3.1540292719056504,190.0920569896698,0
92,303.0,2.404231873730893,196.5683298110962,0
93,304.0,2.742526151102051,200.7683517932892,0
94,305.0,2.8231133045840613,200.92337703704837,0
95,306.0,3.390588781468561,190.09206533432007,0
96,307.0,1.916365940593438,196.97874212265012,2
97,308.0,2.1189621745179053,225.43012285232544,2
98,309.0,2.288950377114144,195.52061557769773,2
99,310.0,2.7009140880514653,199.8558452129364,0
100,311.0,2.2247603239494174,199.73346996307373,2
101,312.0,2.7791146752310616,194.31913590431213,2
102,313.0,3.0042543472893795,198.74400806427,2
103,314.0,2.821454712657558,196.4972221851349,2
104,315.0,2.943752449189662,206.44898676872253,2
105,316.0,3.678274229982747,202.0960338115692,2
106,317.0,3.066201712930797,195.0295376777649,2
107,318.0,2.9711373951108198,191.58160710334775,2
108,319.0,3.48224623672945,197.74197697639465,1
109,320.0,2.32528940433621,199.8657600879669,2
110,321.0,2.661862672854069,195.81564950942996,2
111,322.0,1.865615825956379,194.3915240764618,2
112,323.0,1.6651503206317235,191.5703046321869,1
113,324.0,2.444943280146288,194.484854221344,1
114,325.0,1.6616774443280482,199.2059752941132,1
115,326.0,2.607141927004856,197.9495816230774,1
116,327.0,1.8529842453863767,200.0123999118805,1
117,328.0,2.141076964521788,196.48642802238464,1
118,329.0,2.625050537088285,196.86580657958984,1
119,331.0,3.0772593300255093,197.54537653923035,1
0,332.0,2.2948617379231493,177.6301507949829,1
1,333.0,2.1919742564950764,179.1260826587677,1
2,334.0,2.2422967434231307,174.6701729297638,1
3,335.0,2.5737593888629244,179.9755039215088,1
4,336.0,2.239936839066869,182.50450801849365,1
5,337.0,1.8628701756947297,179.56861305236816,1
6,338.0,3.097759731998072,180.3249764442444,1
7,339.0,3.992370674765472,179.89078521728516,2
8,340.0,2.0377311870033736,176.35635423660278,2
9,341.0,1.917315639296945,179.6162040233612,2
10,342.0,3.513140774529216,181.03849935531616,0
11,343.0,3.3352566194966142,180.60816287994385,0
12,344.0,2.537008668477124,177.30484080314636,0
13,345.0,4.066822163700159,177.0525028705597,2
14,346.0,4.112137524850163,179.96379852294922,2
15,347.0,3.2379416161944192,177.4100592136383,1
16,348.0,3.341209125444693,179.1275339126587,0
17,349.0,3.3444686024996164,184.71520924568176,1
18,350.0,4.449222437276881,181.8816087245941,1
19,351.0,3.2467964783555177,177.60331177711487,2
20,352.0,3.488930417028636,181.1896629333496,1
21,353.0,3.977630510267356,180.77739453315732,2
22,354.0,3.215670198917528,185.16172456741333,2
23,356.0,2.850817464778357,179.24070477485657,2
24,358.0,3.987079703249641,179.72989702224731,2
25,359.0,4.04491653772841,180.06755352020264,0
26,360.0,4.548682826556283,181.1401665210724,1
27,361.0,3.997972867095365,179.011292219162,0
28,362.0,4.607462126156707,181.60221648216248,2
29,363.0,3.2651755776786944,178.91888976097107,0
30,364.0,4.790542505757084,176.70306372642517,0
31,365.0,3.79325169540043,178.9840657711029,2
32,367.0,3.0935407519123106,180.33213806152344,2
33,368.0,2.1990242303285714,180.08803391456604,2
34,369.0,3.7552192593852394,181.68663144111636,2
35,370.0,3.914233692260813,180.2801456451416,2
36,371.0,4.520219666904262,179.1368350982666,2
37,372.0,3.975240002203863,169.68333315849304,2
38,373.0,4.61261447454432,178.35292387008667,2
39,374.0,4.742456389250215,180.47960543632507,0
40,375.0,3.3161118521343087,186.5269069671631,0
41,376.0,3.433070183776963,171.15658020973206,0
42,377.0,3.385289734464464,173.1777606010437,0
43,378.0,2.063451521487609,182.9206829071045,1
44,380.0,2.963959435084837,180.7063038349152,0
45,381.0,3.9471586677741937,178.64663314819336,2
46,382.0,3.861381710215472,180.32809281349185,2
47,384.0,2.570388024189631,179.70118355751038,2
48,385.0,3.241764934177802,180.0518262386322,2
49,386.0,2.4794451805337223,172.80255126953125,2
50,387.0,3.023268747686552,177.7513656616211,2
51,388.0,3.9489764522510415,185.23005294799805,2
52,389.0,2.601913791314473,182.44665122032168,0
53,390.0,3.829186988110824,180.0250632762909,2
54,391.0,3.165211807100309,171.87024998664856,2
55,392.0,2.82528892976538,179.22776460647583,0
56,393.0,4.071288103253273,180.44603872299197,0
