,station_id,lat,lon,distrito
205,215.0,41.3939378,2.1380304,Sarrià-Sant Gervasi
206,216.0,41.3967824,2.1445567,Sarrià-Sant Gervasi
207,217.0,41.3985735,2.1440826,Sarrià-Sant Gervasi
208,218.0,41.4040364,2.183145,Eixample
209,219.0,41.3976165,2.1471724,Sarrià-Sant Gervasi
210,220.0,41.3960982,2.1513154,Sarrià-Sant Gervasi
211,221.0,41.4025392,2.1524704,Gràcia
212,222.0,41.4013296,2.1574439,Gràcia
213,223.0,41.3983444,2.1598243,Gràcia
214,224.0,41.3999967,2.1644531,Eixample
215,225.0,41.3848102114671,2.15080712464522,Eixample
216,226.0,41.4035608,2.1609345,Gràcia
217,227.0,41.4078456,2.1586704,Gràcia
218,228.0,41.4068417,2.1558354,Gràcia
219,229.0,41.4050968,2.1569161,Gràcia
220,230.0,41.4059356,2.1517977,Gràcia
221,231.0,41.4092005,2.16400285,Gràcia
222,232.0,41.3744999703376,2.17302554571611,Sants-Montjuïc
223,233.0,41.3719688,2.1667829,Sants-Montjuïc
224,234.0,41.371532,2.162203,Sants-Montjuïc
225,235.0,41.3751767,2.1658972,Eixample
226,236.0,41.3751161,2.1523091,Eixample
227,237.0,41.3727426,2.1539198,Sants-Montjuïc
228,238.0,41.4158807,2.1908473,Sant Andreu
229,239.0,41.4172922,2.1844769,Sant Andreu
230,240.0,41.4175595,2.1877153,Sant Andreu
231,241.0,41.419178,2.18018,Horta-Guinardó
232,242.0,41.4244527,2.1773157,Sant Andreu
233,243.0,41.4239719,2.1812399,Sant Andreu
234,244.0,41.426925,2.1786224,Sant Andreu
235,245.0,41.3826647,2.1717083,Ciutat Vella
236,246.0,41.4228449,2.1866363,Sant Andreu
237,247.0,41.4219291,2.1849107,Sant Andreu
238,248.0,41.4182129,2.1904005,Sant Andreu
239,249.0,41.4250835,2.1872818,Sant Andreu
240,250.0,41.4258248,2.191206,Sant Andreu
241,251.0,41.4253643,2.1852073,Sant Andreu
242,252.0,41.4298991,2.1932159,Sant Andreu
243,253.0,41.4298614,2.1922011,Sant Andreu
244,254.0,41.4299999,2.190246,Sant Andreu
245,255.0,41.4315,2.18579,Sant Andreu
246,256.0,41.4361251,2.1894423,Sant Andreu
247,257.0,41.433934,2.1896502,Sant Andreu
248,258.0,41.4425034,2.1929677,Sant Andreu
249,259.0,41.4391174,2.1858025,Sant Andreu
250,260.0,41.4356895,2.1920873,Sant Andreu
251,261.0,41.3821314,2.1606534,Eixample
252,262.0,41.3790954665734,2.1516210083712,Eixample
253,263.0,41.4378773,2.1910691,Sant Andreu
254,264.0,41.439929,2.1970692,Sant Andreu
255,265.0,41.3847738,2.1592566,Eixample
256,266.0,41.4268952,2.1842572,Sant Andreu
257,267.0,41.4433647,2.1906302,Sant Andreu
258,268.0,41.4457195,2.1929816,Sant Andreu
259,269.0,41.448152,2.19294,Sant Andreu
260,270.0,41.4486328,2.1898372,Sant Andreu
261,271.0,41.4519872,2.1935229,Sant Andreu
262,272.0,41.4325013,2.1842021,Sant Andreu
263,273.0,41.4304126,2.1834174,Sant Andreu
264,274.0,41.4299201,2.1849813,Sant Andreu
265,275.0,41.43068,2.1821802,Nou Barris
266,276.0,41.4121345,2.1652216,Horta-Guinardó
267,277.0,41.4082107,2.1689962,Horta-Guinardó
268,278.0,41.4098842,2.1715285,Horta-Guinardó
269,279.0,41.4158995,2.1745567,Horta-Guinardó
270,280.0,41.4138664,2.1777274,Horta-Guinardó
271,281.0,41.4180789,2.1763994,Horta-Guinardó
272,282.0,41.4275514,2.1659881,Horta-Guinardó
273,283.0,41.4297231,2.1617032,Horta-Guinardó
274,284.0,41.389462,2.1314948,Les Corts
275,285.0,41.4366708,2.186105,Sant Andreu
276,286.0,41.4030225,2.1913538,Sant Martí
277,287.0,41.3890626,2.1679313,Eixample
278,288.0,41.4296439,2.174444,Nou Barris
279,289.0,41.4166982,2.1909952,Sant Andreu
280,290.0,41.4373376,2.1740962,Nou Barris
281,291.0,41.426078,2.1751572,Nou Barris
282,292.0,41.4300161,2.1720191,Nou Barris
283,293.0,41.4283127,2.1629889,Horta-Guinardó
284,294.0,41.4363473,2.1706752,Nou Barris
285,295.0,41.433384,2.1716309,Nou Barris
286,296.0,41.4364887,2.1841014,Nou Barris
287,297.0,41.4388223,2.1767828,Nou Barris
288,298.0,41.4347233,2.1817718,Nou Barris
289,299.0,41.4340849,2.1748267,Nou Barris
290,300.0,41.4315843,2.1769107,Nou Barris
291,301.0,41.4366871,2.1693134,Nou Barris
292,302.0,41.3906352,2.111541,Les Corts
293,303.0,41.3934324,2.115107,Les Corts
294,304.0,41.39038,2.121,Sarrià-Sant Gervasi
295,305.0,41.3875297,2.1237141,Les Corts
296,306.0,41.3853868,2.122893,Les Corts
297,307.0,41.3791986,2.1135824,Les Corts
298,308.0,41.37684,2.114029,Les Corts
299,309.0,41.3770199,2.1169828,Les Corts
300,310.0,41.3812111,2.1190863,Les Corts
301,311.0,41.3785631,2.1202487,Les Corts
302,312.0,41.3789061,2.1233038,Les Corts
303,313.0,41.3754188,2.1297823,Sants-Montjuïc
304,314.0,41.3783067,2.1297303,Sants-Montjuïc
305,315.0,41.4156285,2.1817876,Sant Martí
306,316.0,41.4224015,2.198071,Sant Martí
307,317.0,41.4256626,2.2008632,Sant Martí
308,318.0,41.412427,2.170592,Horta-Guinardó
309,319.0,41.3937414,2.1455022,Sarrià-Sant Gervasi
310,320.0,41.400305,2.149144,Sarrià-Sant Gervasi
311,321.0,41.4031529,2.1445843,Sarrià-Sant Gervasi
312,322.0,41.4009,2.13892,Sarrià-Sant Gervasi
313,323.0,41.3981616,2.1386719,Sarrià-Sant Gervasi
314,324.0,41.3969455,2.136346,Sarrià-Sant Gervasi
315,325.0,41.3949601,2.1302775,Sarrià-Sant Gervasi
316,326.0,41.4074131,2.1381069,Sarrià-Sant Gervasi
317,327.0,41.4050074,2.134603,Sarrià-Sant Gervasi
318,328.0,41.402988,2.1344691,Sarrià-Sant Gervasi
319,329.0,41.4029965,2.1283866,Sarrià-Sant Gervasi
320,330.0,41.401883,2.131524,Sarrià-Sant Gervasi
321,331.0,41.3970497,2.1279409,Sarrià-Sant Gervasi
322,332.0,41.3998981,2.1281922,Sarrià-Sant Gervasi
323,333.0,41.3954723,2.1250451,Sarrià-Sant Gervasi
324,334.0,41.400793,2.122889,Sarrià-Sant Gervasi
325,335.0,41.3935355,2.1231228,Sarrià-Sant Gervasi
326,336.0,41.3948771,2.1205394,Sarrià-Sant Gervasi
327,337.0,41.3986238,2.1204941,Sarrià-Sant Gervasi
328,338.0,41.3977227,2.1194557,Sarrià-Sant Gervasi
329,339.0,41.4017084,2.2053803,Sant Martí
330,340.0,41.4361782,2.2047037,Sant Andreu
331,341.0,41.4339212,2.2062245,Sant Andreu
332,342.0,41.4034967,2.1936584,Sant Martí
333,343.0,41.4389609,2.1996179,Sant Andreu
334,344.0,41.4431441,2.1996045,Sant Andreu
335,345.0,41.3631066,2.1398322,Sants-Montjuïc
336,346.0,41.360798,2.138931,Sants-Montjuïc
337,347.0,41.3595484,2.1417765,Sants-Montjuïc
338,348.0,41.357067,2.141563,Sants-Montjuïc
339,349.0,41.3573288,2.1371996,Sants-Montjuïc
340,350.0,41.392052,2.1480223,Eixample
341,351.0,41.3621232,2.1356187,Sants-Montjuïc
342,352.0,41.363279,2.1341586,Sants-Montjuïc
343,353.0,41.37541,2.1232547,Sants-Montjuïc
344,354.0,41.3759419,2.1299539,Sants-Montjuïc
345,355.0,41.371459,2.127854,Sants-Montjuïc
346,356.0,41.4134503,2.1631012,Horta-Guinardó
347,357.0,41.4105956,2.1579897,Gràcia
348,358.0,41.3872437,2.1793035,Ciutat Vella
349,359.0,41.3900544,2.1775594,Ciutat Vella
350,360.0,41.3952527,2.1730023,Eixample
351,361.0,41.37652,2.17881,Ciutat Vella
352,362.0,41.396994,2.1706323,Eixample
353,363.0,41.3908381,2.1743743,Eixample
354,364.0,41.393062,2.1633226,Eixample
355,365.0,41.3875712,2.1469336,Eixample
356,366.0,41.3811389,2.1729755,Ciutat Vella
357,367.0,41.384972,2.1376205,Les Corts
358,368.0,41.3968391,2.1756598,Eixample
359,369.0,41.40013,2.1780175,Eixample
360,370.0,41.4039698,2.1729061,Eixample
361,371.0,41.4040525,2.181199,Eixample
362,372.0,41.4001015,2.1841711,Eixample
363,373.0,41.3750995,2.1613897,Eixample
364,374.0,41.3949729,2.1612814,Eixample
365,375.0,41.3720293,2.1804468,Ciutat Vella
366,376.0,41.3718728,2.180302,Ciutat Vella
367,377.0,41.3776292,2.1836886,Ciutat Vella
368,378.0,41.3785379,2.1767427,Ciutat Vella
